benchmark,machine,repetition,test,result
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,3,"vm",34702.57593
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,3,"vm-rw",113.390973
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,3,"vm-splice",604777.216796
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,3,"zero",722272.222909
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,1,"af-alg",7444.144442
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,1,"atomic",684062.382461
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,1,"bigheap",36550.605805
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,1,"brk",686128.867532
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,1,"bsearch",369.523105
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,1,"cache",3.699973
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,1,"cpu",258.212404
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,1,"crypt",155.837246
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,1,"full",284046.50044
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,1,"heapsort",4.7
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,1,"hsearch",3840.094964
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,1,"icache",983.648148
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,1,"lockbus",2098033.864177
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,1,"longjmp",114651.431439
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,1,"lsearch",9.000024
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,1,"malloc",2734544.060869
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,1,"matrix",5108.827528
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,1,"memcpy",1139.365256
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,1,"mincore",48697.946592
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,1,"mmap",1.097723
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,1,"mremap",17.698657
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,1,"msync",63.428149
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,1,"nop",175859.075669
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,1,,549599.30276
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,1,"numa",101.08694
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,1,"oom-pipe",0
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,1,"opcode",794.493635
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,1,"qsort",9.800002
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,1,"remap",407.312552
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,1,"resources",1482.058977
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,1,"rmap",957.785162
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,1,"shm",135.901539
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,1,"shm-sysv",1095.434777
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,1,"stack",0
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,1,"stackmmap",5.697299
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,1,"str",21136.313888
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,1,"stream",14.690459
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,1,"tsearch",16.843626
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,1,"vecmath",960.408569
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,1,"vm",34702.388464
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,1,"vm-rw",116.918648
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,1,"vm-splice",593841.88863
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,1,"zero",735044.888436
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,2,"af-alg",7364.890956
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,2,"atomic",679706.07824
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,2,"bigheap",37095.223002
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,2,"brk",679317.1843
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,2,"bsearch",372.053084
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,2,"cache",3.599972
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,2,"cpu",271.092108
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,2,"crypt",154.911883
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,2,"full",307666.614068
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,2,"heapsort",4.70001
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,2,"hsearch",4049.813421
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,2,"icache",1004.603521
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,2,"lockbus",2108733.375941
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,2,"longjmp",117371.870125
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,2,"lsearch",9.000024
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,2,"malloc",2779692.921424
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,2,"matrix",5045.844392
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,2,"memcpy",1123.393947
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,2,"mincore",48192.879209
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,2,"mmap",1.099742
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,2,"mremap",17.598159
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,2,"msync",64.727641
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,2,"nop",178891.260107
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,2,,557233.912219
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,2,"numa",104.958247
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,2,"oom-pipe",0
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,2,"opcode",770.102699
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,2,"qsort",9.999996
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,2,"remap",393.516658
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,2,"resources",1670.743035
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,2,"rmap",999.622388
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,2,"shm",133.332391
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,2,"shm-sysv",1082.799358
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,2,"stack",0
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,2,"stackmmap",5.697773
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,2,"str",20200.784766
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,2,"stream",14.570623
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,2,"tsearch",16.769731
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,2,"vecmath",932.788347
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,2,"vm",34700.646862
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,2,"vm-rw",118.244637
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,2,"vm-splice",583996.739159
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,2,"zero",735076.480356
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,3,"af-alg",7402.560532
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,3,"atomic",683096.296676
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,3,"bigheap",36264.586068
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,3,"brk",682043.83349
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,3,"bsearch",369.380757
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,3,"cache",3.799997
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,3,"cpu",270.178956
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,3,"crypt",164.296271
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,3,"full",270500.815572
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,3,"heapsort",4.700006
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,3,"hsearch",3911.509792
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,3,"icache",997.56128
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,3,"lockbus",2007716.536347
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,3,"longjmp",113224.115241
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,3,"lsearch",9.000049
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,3,"malloc",2742555.527787
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,3,"matrix",4928.832081
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,3,"memcpy",1137.78839
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,3,"mincore",48039.139732
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,3,"mmap",1.099974
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,3,"mremap",17.298742
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,3,"msync",61.53261
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,3,"nop",184006.524891
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,3,,555321.126327
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,3,"numa",98.995693
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,3,"oom-pipe",0
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,3,"opcode",798.183558
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,3,"qsort",10.300031
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,3,"remap",425.312855
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,3,"resources",1676.190882
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,3,"rmap",791.039345
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,3,"shm",131.47761
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,3,"shm-sysv",667.916381
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,3,"stack",0
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,3,"stackmmap",5.699512
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,3,"str",21002.061735
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,3,"stream",14.419295
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,3,"tsearch",16.357675
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,3,"vecmath",971.768421
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,3,"vm",34702.784044
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,3,"vm-rw",109.098832
stressng,c220g2.quiho.schedock-PG0.wisc.cloudlab.us,3,"vm-splice",595768.32607
