repetition,benchmark,machine,test,result
2,redisbench,pc19.utahddc.geniracks.net,"SET","244558.56"

2,redisbench,pc19.utahddc.geniracks.net,"GET","317258.88"

2,redisbench,pc19.utahddc.geniracks.net,"LPUSH","285918.53"

2,redisbench,pc19.utahddc.geniracks.net,"LPOP","252876.47"

2,redisbench,pc22.utahddc.geniracks.net,"SET","226142.02"

2,redisbench,pc22.utahddc.geniracks.net,"GET","228806.77"

2,redisbench,pc22.utahddc.geniracks.net,"LPUSH","294247.47"

2,redisbench,pc22.utahddc.geniracks.net,"LPOP","298819.66"

2,redisbench,pc25.utahddc.geniracks.net,"SET","258832.66"

2,redisbench,pc25.utahddc.geniracks.net,"GET","309166.81"

2,redisbench,pc25.utahddc.geniracks.net,"LPUSH","227946.20"

2,redisbench,pc25.utahddc.geniracks.net,"LPOP","234494.08"

2,redisbench,pc31.utahddc.geniracks.net,"SET","227998.17"

2,redisbench,pc31.utahddc.geniracks.net,"GET","229673.86"

2,redisbench,pc31.utahddc.geniracks.net,"LPUSH","247310.50"

2,redisbench,pc31.utahddc.geniracks.net,"LPOP","226295.53"

2,redisbench,pc765.emulab.net,"SET","343819.84"

2,redisbench,pc765.emulab.net,"GET","345841.25"

2,redisbench,pc765.emulab.net,"LPUSH","335570.47"

2,redisbench,pc765.emulab.net,"LPOP","338696.00"

2,redisbench,pc767.emulab.net,"SET","362515.84"

2,redisbench,pc767.emulab.net,"GET","358102.06"

2,redisbench,pc767.emulab.net,"LPUSH","412881.94"

2,redisbench,pc767.emulab.net,"LPOP","405761.81"

2,redisbench,pc769.emulab.net,"SET","306138.06"

2,redisbench,pc769.emulab.net,"GET","400400.41"

2,redisbench,pc769.emulab.net,"LPUSH","421052.62"

2,redisbench,pc769.emulab.net,"LPOP","419023.69"

2,redisbench,pc773.emulab.net,"SET","348310.69"

2,redisbench,pc773.emulab.net,"GET","349283.97"

2,redisbench,pc773.emulab.net,"LPUSH","388878.06"

2,redisbench,pc773.emulab.net,"LPOP","414421.88"

2,redisbench,pl2,"SET","272665.31"

2,redisbench,pl2,"GET","286450.88"

2,redisbench,pl2,"LPUSH","311332.50"

2,redisbench,pl2,"LPOP","316856.78"

2,redisbench,rackform2,"SET","236406.62"

2,redisbench,rackform2,"GET","231535.09"

2,redisbench,rackform2,"LPUSH","244678.25"

2,redisbench,rackform2,"LPOP","244379.28"

2,redisbench,scruffy.soe.ucsc.edu,"SET","285388.12"

2,redisbench,scruffy.soe.ucsc.edu,"GET","290275.78"

2,redisbench,scruffy.soe.ucsc.edu,"LPUSH","304367.66"

2,redisbench,scruffy.soe.ucsc.edu,"LPOP","307787.00"

3,redisbench,apt129.apt.emulab.net,"SET","370096.25"

3,redisbench,apt129.apt.emulab.net,"GET","374251.50"

3,redisbench,apt129.apt.emulab.net,"LPUSH","386697.59"

3,redisbench,apt129.apt.emulab.net,"LPOP","388651.38"

3,redisbench,apt131.apt.emulab.net,"SET","376576.94"

3,redisbench,apt131.apt.emulab.net,"GET","379146.91"

3,redisbench,apt131.apt.emulab.net,"LPUSH","390701.31"

3,redisbench,apt131.apt.emulab.net,"LPOP","394088.69"

3,redisbench,apt132.apt.emulab.net,"SET","363438.12"

